time,seed,eigh
384,17,2.2237020330752215
388,17,5.6876454371066645
392,17,2.5193974935690977
396,17,1.9748142158038866
0,19,1.5054685908556302
4,19,2.545259778006512
8,19,8.037792753264513
12,19,4.51062094638086
16,19,3.1654836377547304
20,19,4.8729661888199525
24,19,2.3239496198133547
28,19,3.464307034860562
32,19,3.589480327782017
36,19,5.02941806043934
40,19,2.815135600881462
44,19,2.907019424008634
48,19,2.98564893729881
52,19,4.594261333123147
56,19,2.4481855454172807
60,19,2.305035708894739
64,19,3.244498666569927
68,19,2.5725183541569625
72,19,2.4405205945845254
76,19,4.756042535259387
80,19,5.566740600397368
84,19,4.505508845803749
88,19,9.646320482120517
92,19,2.6971753421786553
96,19,1.8354153390371182
100,19,2.321704374590538
104,19,4.216635310999769
108,19,2.176846068956881
112,19,3.686172098971363
116,19,4.356490584084175
120,19,2.452743609835528
124,19,2.518201896886096
128,19,2.757420836731574
132,19,2.061322472579653
136,19,3.446539313136377
140,19,5.386217158557115
144,19,2.556140808291534
148,19,4.748893219503802
152,19,4.563506083359216
156,19,4.436264403952425
160,19,8.862002410810895
164,19,3.5699073302910374
168,19,4.511628805758314
172,19,14.95184404831323
176,19,10.815132136981212
180,19,7.110719560305325
184,19,2.787635079873556
188,19,3.329916144011196
192,19,2.9603952742076207
196,19,3.123709115140018
200,19,2.630097929366413
204,19,2.7073177869335683
208,19,3.742138603240866
212,19,3.2240431832959118
216,19,2.6451578915470653
220,19,2.521002466691906
224,19,4.539321396570071
228,19,2.2939054738076474
232,19,4.632578621759426
236,19,4.632148129391745
240,19,4.89730488141683
244,19,3.870205023952152
248,19,4.397138671024504
252,19,2.1345941688808563
256,19,2.806507680082771
260,19,5.93110219241781
264,19,3.0955605914682316
268,19,10.249657772189066
272,19,3.3956266156116874
276,19,8.164032822826085
280,19,3.3004304469607986
284,19,6.9371541328613455
288,19,9.608629794036736
292,19,3.9312555140313603
296,19,11.731359652848043
300,19,2.5325143247563227
304,19,2.9853002944450537
308,19,6.1439103727264515
312,19,5.407793441083775
316,19,2.367556504822255
320,19,6.210889125892037
324,19,2.591583197971262
328,19,7.098268372168124
332,19,2.222082680219746
336,19,2.7119891952528126
340,19,6.135715744199994
344,19,6.56207932245053
348,19,3.8782085574201615
352,19,2.8869425196818943
356,19,1.96588959097182
360,19,4.7556029456130595
364,19,2.3236901496072004
368,19,4.560319250874074
372,19,1.7563762440343824
376,19,4.121282372161395
380,19,5.002499287375156
384,19,2.2044563766585124
388,19,11.315991694432286
392,19,3.6802524468664655
396,19,2.7905453293189026
0,23,1.4513204068516203
4,23,2.862680896272574
8,23,3.7057958859660336
12,23,4.883532867649923
16,23,4.304761151099073
20,23,4.529391187553423
24,23,2.0931974277473837
28,23,3.995059424837858
32,23,2.8786839624583327
36,23,2.716984869985139
40,23,2.963493153966185
44,23,2.6929903827151853
48,23,2.3810235856672146
